LapNumber,SpeedFL,SpeedST,TyreLife,Position,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed,Name,CircuitLength,Number of Laps,Slick,Wet,Inter,LapTime_sec,PitDuration,GapToLeader,GapToAhead,GapToBehind,status_1,status_12,status_124,status_21,status_24,status_4,status_41,TimeSinceLastWeatherMeasurement,Driver_idx,Team_idx,dnf
9.0,280.0,241.0,9.0,9.0,15.4,73.0,1009.4,0,18.9,282,4.3,Melbourne,5.303,58,0.0,0.0,1.0,96.062,0.0,58.585000000000036,-36.86299999999983,-3.3029999999998836,1,0.0,0.0,0.0,0.0,0.0,0.0,1877.967,1,1,0
10.0,277.0,255.0,10.0,9.0,15.4,73.0,1009.4,0,18.9,282,4.3,Melbourne,5.303,58,0.0,0.0,1.0,95.527,0.0,61.98199999999997,-36.960999999999785,-3.7229999999999563,1,0.0,0.0,0.0,0.0,0.0,0.0,1973.494,1,1,0
11.0,279.0,261.0,11.0,9.0,15.4,73.0,1009.4,0,18.9,282,4.3,Melbourne,5.303,58,0.0,0.0,1.0,94.702,0.0,64.49500000000012,-36.91399999999999,-4.125999999999976,1,0.0,0.0,0.0,0.0,0.0,0.0,2068.196,1,1,0
12.0,280.0,262.0,12.0,9.0,15.4,73.0,1009.4,0,18.9,282,4.3,Melbourne,5.303,58,0.0,0.0,1.0,94.227,0.0,66.94400000000019,-37.06899999999973,-5.098000000000184,1,0.0,0.0,0.0,0.0,0.0,0.0,2162.423,1,1,0
13.0,279.0,273.0,13.0,9.0,15.4,73.0,1009.4,0,18.9,282,4.3,Melbourne,5.303,58,0.0,0.0,1.0,93.275,0.0,68.90100000000007,-38.17699999999991,-5.3559999999999945,1,0.0,0.0,0.0,0.0,0.0,0.0,2255.698,1,1,0
14.0,278.0,274.0,14.0,9.0,15.4,73.0,1009.4,0,18.9,282,4.3,Melbourne,5.303,58,0.0,0.0,1.0,92.859,0.0,70.96499999999992,-39.42000000000007,-5.222999999999956,1,0.0,0.0,0.0,0.0,0.0,0.0,2348.557,1,1,0
15.0,279.0,271.0,15.0,9.0,15.4,73.0,1009.4,0,18.9,282,4.3,Melbourne,5.303,58,0.0,0.0,1.0,92.744,0.0,73.48299999999995,-40.36799999999994,-5.203999999999951,1,0.0,0.0,0.0,0.0,0.0,0.0,2441.301,1,1,0
16.0,279.0,270.0,16.0,9.0,15.4,73.0,1009.4,0,18.9,282,4.3,Melbourne,5.303,58,0.0,0.0,1.0,92.445,0.0,75.97600000000011,-42.03399999999988,-4.899999999999864,1,0.0,0.0,0.0,0.0,0.0,0.0,2533.746,1,1,0
17.0,280.0,270.0,17.0,9.0,15.4,73.0,1009.4,0,18.9,282,4.3,Melbourne,5.303,58,0.0,0.0,1.0,92.795,0.0,78.50700000000006,-43.99499999999989,-4.865000000000009,1,0.0,0.0,0.0,0.0,0.0,0.0,2626.541,1,1,0
18.0,275.0,269.0,18.0,9.0,15.4,73.0,1009.4,0,18.9,282,4.3,Melbourne,5.303,58,0.0,0.0,1.0,93.124,0.0,81.48500000000013,-44.76299999999992,-5.11200000000008,1,0.0,0.0,0.0,0.0,0.0,0.0,2719.665,1,1,0
19.0,280.0,268.0,19.0,9.0,15.4,73.0,1009.4,0,18.9,282,4.3,Melbourne,5.303,58,0.0,0.0,1.0,92.462,0.0,83.39599999999996,-46.20699999999988,-4.6599999999998545,1,0.0,0.0,0.0,0.0,0.0,0.0,2812.127,1,1,0
20.0,276.0,275.0,20.0,9.0,15.4,73.0,1009.4,0,18.9,282,4.3,Melbourne,5.303,58,0.0,0.0,1.0,92.327,0.0,85.01299999999992,-47.20799999999963,-4.6460000000001855,1,0.0,0.0,0.0,0.0,0.0,0.0,2904.454,1,1,0
21.0,280.0,269.0,21.0,9.0,15.4,73.0,1009.4,0,18.9,282,4.3,Melbourne,5.303,58,0.0,0.0,1.0,92.323,0.0,87.10199999999986,-48.23500000000013,-4.889999999999873,1,0.0,0.0,0.0,0.0,0.0,0.0,2996.777,1,1,0
22.0,281.0,280.0,22.0,9.0,15.4,73.0,1009.4,0,18.9,282,4.3,Melbourne,5.303,58,0.0,0.0,1.0,92.355,0.0,89.15700000000015,-48.61400000000003,-5.2039999999997235,1,0.0,0.0,0.0,0.0,0.0,0.0,3089.132,1,1,0
23.0,280.0,272.0,23.0,9.0,15.4,73.0,1009.4,0,18.9,282,4.3,Melbourne,5.303,58,0.0,0.0,1.0,92.438,0.0,91.67300000000023,-49.141999999999825,-5.871000000000095,1,0.0,0.0,0.0,0.0,0.0,0.0,3181.57,1,1,0
24.0,281.0,272.0,24.0,9.0,15.4,73.0,1009.4,0,18.9,282,4.3,Melbourne,5.303,58,0.0,0.0,1.0,92.035,0.0,94.02099999999973,-49.47600000000011,-6.054000000000087,1,0.0,0.0,0.0,0.0,0.0,0.0,3273.605,1,1,0
25.0,281.0,275.0,25.0,9.0,15.4,73.0,1009.4,0,18.9,282,4.3,Melbourne,5.303,58,0.0,0.0,1.0,91.622,0.0,96.04200000000037,-50.08899999999949,-6.816000000000258,1,0.0,0.0,0.0,0.0,0.0,0.0,3365.227,1,1,0
26.0,281.0,282.0,26.0,9.0,15.4,73.0,1009.4,0,18.9,282,4.3,Melbourne,5.303,58,0.0,0.0,1.0,90.928,0.0,97.80999999999995,-50.585999999999785,-6.442000000000007,1,0.0,0.0,0.0,0.0,0.0,0.0,3456.155,1,1,0
27.0,281.0,279.0,27.0,9.0,15.4,73.0,1009.4,0,18.9,282,4.3,Melbourne,5.303,58,0.0,0.0,1.0,90.635,0.0,99.19499999999971,-51.35699999999997,-6.321999999999662,1,0.0,0.0,0.0,0.0,0.0,0.0,3546.79,1,1,0
28.0,282.0,277.0,28.0,9.0,15.7,77.0,1010.2,0,19.1,229,2.5,Melbourne,5.303,58,0.0,0.0,1.0,90.382,0.0,100.48000000000002,-51.73000000000002,-6.560999999999694,1,0.0,0.0,0.0,0.0,0.0,0.0,36.785,1,1,0
29.0,278.0,284.0,29.0,9.0,15.7,77.0,1010.2,0,19.1,229,2.5,Melbourne,5.303,58,0.0,0.0,1.0,90.051,0.0,102.17399999999998,-53.008000000000266,-6.484999999999673,1,0.0,0.0,0.0,0.0,0.0,0.0,126.836,1,1,0
30.0,279.0,282.0,30.0,9.0,15.7,77.0,1010.2,0,19.1,229,2.5,Melbourne,5.303,58,0.0,0.0,1.0,90.124,0.0,104.26600000000008,-54.029999999999745,-6.872000000000298,1,0.0,0.0,0.0,0.0,0.0,0.0,216.96,1,1,0
31.0,280.0,283.0,31.0,9.0,15.7,77.0,1010.2,0,19.1,229,2.5,Melbourne,5.303,58,0.0,0.0,1.0,89.299,0.0,105.87000000000035,-55.17699999999968,-5.749000000000251,1,0.0,0.0,0.0,0.0,0.0,0.0,306.259,1,1,0
32.0,280.0,280.0,32.0,9.0,15.7,77.0,1010.2,0,19.1,229,2.5,Melbourne,5.303,58,0.0,0.0,1.0,89.383,0.0,107.45299999999997,-55.623999999999796,-4.8979999999996835,1,0.0,0.0,0.0,0.0,0.0,0.0,395.642,1,1,0
34.0,268.0,162.0,1.0,9.0,15.7,77.0,1010.2,0,19.1,229,2.5,Melbourne,5.303,58,3.0,0.0,0.0,145.049,0.0,154.0340000000001,-54.1569999999997,-3.8830000000002656,0,0.0,0.0,0.0,0.0,1.0,0.0,651.991,1,1,0
35.0,271.0,237.0,2.0,9.0,15.7,77.0,1010.2,0,19.1,229,2.5,Melbourne,5.303,58,3.0,0.0,0.0,105.531,0.0,136.1170000000002,-80.77199999999993,-6.01299999999992,0,0.0,0.0,0.0,0.0,1.0,0.0,757.522,1,1,0
36.0,270.0,280.0,3.0,9.0,15.7,77.0,1010.2,0,19.1,229,2.5,Melbourne,5.303,58,3.0,0.0,0.0,101.62,0.0,100.85399999999981,-111.29799999999977,-5.201999999999771,0,0.0,0.0,0.0,0.0,1.0,0.0,859.142,1,1,0
37.0,213.0,270.0,4.0,9.0,15.7,77.0,1010.2,0,19.1,229,2.5,Melbourne,5.303,58,3.0,0.0,0.0,127.218,0.0,99.21500000000015,-125.00099999999975,-4.341000000000349,0,0.0,0.0,0.0,0.0,1.0,0.0,986.36,1,1,0
38.0,222.0,258.0,5.0,9.0,15.7,77.0,1010.2,0,19.1,229,2.5,Melbourne,5.303,58,3.0,0.0,0.0,139.376,0.0,100.68100000000004,-118.9989999999998,-5.302000000000135,0,0.0,0.0,0.0,0.0,1.0,0.0,1125.736,1,1,0
39.0,229.0,258.0,6.0,9.0,15.7,77.0,1010.2,0,19.1,229,2.5,Melbourne,5.303,58,3.0,0.0,0.0,131.226,0.0,99.19299999999976,-96.39600000000064,-4.4429999999993015,0,0.0,0.0,0.0,0.0,1.0,0.0,1256.962,1,1,0
40.0,249.0,262.0,7.0,9.0,15.7,77.0,1010.2,0,19.1,229,2.5,Melbourne,5.303,58,3.0,0.0,0.0,130.476,0.0,98.17100000000028,-58.357999999999265,-3.5119999999997162,0,0.0,0.0,0.0,0.0,1.0,0.0,1387.438,1,1,0
41.0,287.0,201.0,8.0,9.0,15.7,77.0,1010.2,0,19.1,229,2.5,Melbourne,5.303,58,3.0,0.0,0.0,126.368,0.0,92.53499999999985,-20.11499999999978,-3.2729999999992287,0,0.0,0.0,0.0,0.0,0.0,1.0,1513.806,1,1,0
42.0,289.0,284.0,9.0,9.0,15.7,77.0,1010.2,0,19.1,229,2.5,Melbourne,5.303,58,3.0,0.0,0.0,87.942,0.0,95.15999999999985,-16.94300000000021,-3.706999999999425,1,0.0,0.0,0.0,0.0,0.0,0.0,1601.748,1,1,0
43.0,292.0,294.0,10.0,9.0,15.7,77.0,1010.2,0,19.1,229,2.5,Melbourne,5.303,58,3.0,0.0,0.0,85.02,0.0,97.09900000000016,-16.11499999999978,-4.5090000000000146,1,0.0,0.0,0.0,0.0,0.0,0.0,1686.768,1,1,0
44.0,290.0,296.0,11.0,8.0,15.7,77.0,1010.2,0,19.1,229,2.5,Melbourne,5.303,58,3.0,0.0,0.0,88.332,0.0,98.64199999999983,-40.36500000000069,-3.3869999999997162,0,1.0,0.0,0.0,0.0,0.0,0.0,1775.1,1,1,0
45.0,281.0,287.0,12.0,8.0,15.7,77.0,1010.2,0,19.1,229,2.5,Melbourne,5.303,58,3.0,0.0,0.0,92.969,0.0,98.73700000000008,-43.65099999999984,-3.3109999999996944,0,0.0,0.0,1.0,0.0,0.0,0.0,1868.069,1,1,0
47.0,266.0,221.0,47.0,10.0,15.7,77.0,1010.2,0,19.1,229,2.5,Melbourne,5.303,58,0.0,0.0,1.0,126.74,0.0,101.72699999999986,-118.46900000000005,-52.69200000000001,0,0.0,1.0,0.0,0.0,0.0,0.0,2110.878,1,1,0
48.0,180.0,185.0,48.0,9.0,15.7,77.0,1010.2,0,19.1,229,2.5,Melbourne,5.303,58,0.0,0.0,1.0,121.785,0.0,107.0059999999994,-141.47200000000066,-55.25799999999981,0,0.0,0.0,0.0,0.0,1.0,0.0,2232.663,1,1,0
49.0,231.0,204.0,49.0,9.0,15.7,77.0,1010.2,0,19.1,229,2.5,Melbourne,5.303,58,0.0,0.0,1.0,144.669,0.0,151.23500000000058,-107.29099999999926,-55.35200000000077,0,0.0,0.0,0.0,0.0,1.0,0.0,2377.332,1,1,0
