Unnamed: 0.1,Unnamed: 0,Time_x,LapNumber,PitOutTime,PitInTime,SpeedFL,SpeedST,TyreLife,LapStartTime,TrackStatus,Position,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed,TimeStamp_y,Name,CircuitLength,Number of Laps,Slick,Wet,Inter,LapTime_sec,GapToLeader,GapToAhead,GapToBehind,status_1,status_2,status_4,status_6,status_12,status_14,status_16,status_21,status_24,status_26,status_41,status_67,status_71,status_124,status_126,status_167,status_671,status_712,status_6712,Driver_idx,Team_idx,TimeSinceLastWeatherMeasurement
92,92,0 days 02:14:27.625000,36.0,NO_PIT,NO_PIT,270.0,280.0,3.0,0 days 02:12:46.005000,4,9.0,15.7,77.0,1010.2,False,19.1,229,2.5,0 days 02:00:08.483000,Melbourne,5.303,58,3.0,0.0,0.0,101.62,100.8539999999998,5.201999999999771,20.84900000000016,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0 days 00:14:19.142000
93,93,0 days 02:16:34.843000,37.0,NO_PIT,NO_PIT,213.0,270.0,4.0,0 days 02:14:27.625000,4,9.0,15.7,77.0,1010.2,False,19.1,229,2.5,0 days 02:00:08.483000,Melbourne,5.303,58,3.0,0.0,0.0,127.218,99.21500000000016,4.341000000000349,19.93199999999979,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0 days 00:16:26.360000
94,94,0 days 02:18:54.219000,38.0,NO_PIT,NO_PIT,222.0,258.0,5.0,0 days 02:16:34.843000,4,9.0,15.7,77.0,1010.2,False,19.1,229,2.5,0 days 02:00:08.483000,Melbourne,5.303,58,3.0,0.0,0.0,139.376,100.68100000000004,5.302000000000135,20.626000000000204,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0 days 00:18:45.736000
95,95,0 days 02:21:05.445000,39.0,NO_PIT,NO_PIT,229.0,258.0,6.0,0 days 02:18:54.219000,4,9.0,15.7,77.0,1010.2,False,19.1,229,2.5,0 days 02:00:08.483000,Melbourne,5.303,58,3.0,0.0,0.0,131.226,99.19299999999976,4.4429999999993015,21.300000000000185,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0 days 00:20:56.962000
96,96,0 days 02:23:15.921000,40.0,NO_PIT,NO_PIT,249.0,262.0,7.0,0 days 02:21:05.445000,4,9.0,15.7,77.0,1010.2,False,19.1,229,2.5,0 days 02:00:08.483000,Melbourne,5.303,58,3.0,0.0,0.0,130.476,98.17100000000028,3.511999999999716,20.72400000000016,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0 days 00:23:07.438000
104,104,0 days 02:37:21.146000,48.0,NO_PIT,NO_PIT,180.0,185.0,48.0,0 days 02:35:19.361000,4,9.0,15.7,77.0,1010.2,False,19.1,229,2.5,0 days 02:00:08.483000,Melbourne,5.303,58,0.0,0.0,1.0,121.785,107.0059999999994,12.628999999999904,11.769000000000233,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0 days 00:37:12.663000
105,105,0 days 02:39:45.815000,49.0,NO_PIT,NO_PIT,231.0,204.0,49.0,0 days 02:37:21.146000,4,9.0,15.7,77.0,1010.2,False,19.1,229,2.5,0 days 02:00:08.483000,Melbourne,5.303,58,0.0,0.0,1.0,144.669,151.23500000000058,12.636000000000422,12.222999999999956,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0 days 00:39:37.332000
106,106,0 days 02:42:03.569000,50.0,NO_PIT,NO_PIT,263.0,223.0,50.0,0 days 02:39:45.815000,4,9.0,15.7,77.0,1010.2,False,19.1,229,2.5,0 days 02:00:08.483000,Melbourne,5.303,58,0.0,0.0,1.0,137.754,165.25700000000052,8.908000000000357,7.6299999999992,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0 days 00:41:55.086000
118,118,0 days 01:23:51.260000,5.0,0 days 01:21:35.283000,NO_PIT,193.0,187.0,5.0,0 days 01:21:32.097000,4,13.0,15.4,73.0,1009.4,False,18.9,282,4.3,0 days 01:00:08.096000,Melbourne,5.303,58,0.0,0.0,1.0,139.163,96.52700000000004,4.629000000000019,5.033000000000016,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0 days 00:23:43.164000
119,119,0 days 01:26:12.371000,6.0,NO_PIT,NO_PIT,232.0,201.0,6.0,0 days 01:23:51.260000,4,13.0,15.4,73.0,1009.4,False,18.9,282,4.3,0 days 01:00:08.096000,Melbourne,5.303,58,0.0,0.0,1.0,141.111,97.21500000000005,4.629000000000019,4.908000000000016,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0 days 00:26:04.275000
